
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 04 | 02200/06880 | loss 3.9938 | ppl 54.26 | lr 0.0001255461 | 75.3s
Epoch 04 | 02300/06880 | loss 3.9928 | ppl 54.21 | lr 0.0001252722 | 78.7s
Epoch 04 | 02400/06880 | loss 3.9924 | ppl 54.19 | lr 0.000125 | 82.0s
Epoch 04 | 02500/06880 | loss 3.9914 | ppl 54.13 | lr 0.0001247296 | 85.3s
Epoch 04 | 02600/06880 | loss 3.9908 | ppl 54.10 | lr 0.000124461 | 88.8s
Epoch 04 | 02700/06880 | loss 3.9900 | ppl 54.06 | lr 0.0001241941 | 92.1s
Epoch 04 | 02800/06880 | loss 3.9891 | ppl 54.00 | lr 0.0001239289 | 95.6s
Epoch 04 | 02900/06880 | loss 3.9887 | ppl 53.98 | lr 0.0001236653 | 99.2s
Epoch 04 | 03000/06880 | loss 3.9881 | ppl 53.95 | lr 0.0001234035 | 102.7s
Epoch 04 | 03100/06880 | loss 3.9876 | ppl 53.92 | lr 0.0001231433 | 106.0s
Epoch 04 | 03200/06880 | loss 3.9873 | ppl 53.91 | lr 0.0001228848 | 109.3s
Epoch 04 | 03300/06880 | loss 3.9863 | ppl 53.85 | lr 0.0001226279 | 112.7s
Epoch 04 | 03400/06880 | loss 3.9856 | ppl 53.82 | lr 0.0001223726 | 116.0s
Epoch 04 | 03500/06880 | loss 3.9851 | ppl 53.79 | lr 0.0001221188 | 119.3s
Epoch 04 | 03600/06880 | loss 3.9845 | ppl 53.76 | lr 0.0001218667 | 122.7s
Epoch 04 | 03700/06880 | loss 3.9840 | ppl 53.73 | lr 0.0001216161 | 125.9s
Epoch 04 | 03800/06880 | loss 3.9839 | ppl 53.72 | lr 0.000121367 | 129.1s
Epoch 04 | 03900/06880 | loss 3.9828 | ppl 53.67 | lr 0.0001211195 | 132.4s
Epoch 04 | 04000/06880 | loss 3.9818 | ppl 53.61 | lr 0.0001208734 | 135.8s
Epoch 04 | 04100/06880 | loss 3.9819 | ppl 53.62 | lr 0.0001206289 | 139.1s
Epoch 04 | 04200/06880 | loss 3.9810 | ppl 53.57 | lr 0.0001203859 | 142.2s
Epoch 04 | 04300/06880 | loss 3.9803 | ppl 53.53 | lr 0.0001201443 | 145.4s
Epoch 04 | 04400/06880 | loss 3.9790 | ppl 53.47 | lr 0.0001199041 | 148.7s
Epoch 04 | 04500/06880 | loss 3.9786 | ppl 53.44 | lr 0.0001196654 | 152.0s
Epoch 04 | 04600/06880 | loss 3.9777 | ppl 53.39 | lr 0.0001194281 | 155.3s
Epoch 04 | 04700/06880 | loss 3.9769 | ppl 53.35 | lr 0.0001191922 | 158.5s
Epoch 04 | 04800/06880 | loss 3.9761 | ppl 53.31 | lr 0.0001189577 | 162.1s
Epoch 04 | 04900/06880 | loss 3.9756 | ppl 53.28 | lr 0.0001187246 | 165.7s
Epoch 04 | 05000/06880 | loss 3.9747 | ppl 53.24 | lr 0.0001184929 | 169.3s
Epoch 04 | 05100/06880 | loss 3.9739 | ppl 53.19 | lr 0.0001182625 | 172.8s
Epoch 04 | 05200/06880 | loss 3.9732 | ppl 53.15 | lr 0.0001180334 | 176.3s
Epoch 04 | 05300/06880 | loss 3.9726 | ppl 53.12 | lr 0.0001178057 | 179.9s
